"gewicht" "tijdstip" "verbannen"
"1" 647.141449784464 "voor" "1"
"2" 660.023077910152 "voor" "1"
"3" 729.789624251816 "voor" "1"
"4" 671.749827265558 "voor" "1"
"5" 674.042221671277 "voor" "1"
"6" 735.887534488448 "voor" "1"
"7" 686.975732033579 "voor" "1"
"8" 619.662611850345 "voor" "1"
"9" 642.212738776152 "voor" "1"
"10" 651.619183166102 "voor" "1"
"11" 716.739190100139 "voor" "1"
"12" 683.032739255237 "voor" "1"
"13" 684.630086573168 "voor" "1"
"14" 673.31662592186 "voor" "1"
"15" 647.322195744591 "voor" "1"
"16" 676.487106624618 "na" "1"
"17" 624.915601821614 "na" "1"
"18" 571.458766420334 "na" "1"
"19" 646.817622343743 "na" "1"
"20" 590.40265128488 "na" "1"
"21" 622.496349189106 "na" "1"
"22" 616.076986300664 "na" "1"
"23" 508.362389434983 "na" "1"
"24" 545.768177311596 "na" "1"
"25" 560.367219773639 "na" "1"
"26" 572.404524563018 "na" "1"
"27" 664.922091479963 "na" "1"
"28" 632.298742464994 "na" "1"
"29" 556.409779071262 "na" "1"
"30" 650.012941798087 "na" "1"
"31" 685.632104637596 "voor" "0"
"32" 657.492212163301 "voor" "0"
"33" 703.909900780756 "voor" "0"
"34" 703.247206013789 "voor" "0"
"35" 701.041662183862 "voor" "0"
"36" 695.856969909904 "voor" "0"
"37" 690.602788487966 "voor" "0"
"38" 666.585443287508 "voor" "0"
"39" 657.067456114143 "voor" "0"
"40" 654.161630960517 "voor" "0"
"41" 641.9064278221 "voor" "0"
"42" 660.891226157236 "voor" "0"
"43" 619.649542288838 "voor" "0"
"44" 753.589282648202 "voor" "0"
"45" 716.110517933895 "voor" "0"
"46" 579.476675477428 "na" "0"
"47" 587.347970398348 "na" "0"
"48" 630.577133099595 "na" "0"
"49" 692.245461930605 "na" "0"
"50" 646.87320886027 "na" "0"
"51" 658.522895609641 "na" "0"
"52" 639.175450720531 "na" "0"
"53" 614.441920422942 "na" "0"
"54" 675.497570314866 "na" "0"
"55" 592.873081677554 "na" "0"
"56" 667.729958043577 "na" "0"
"57" 533.453585945725 "na" "0"
"58" 598.880229770641 "na" "0"
"59" 709.781994840433 "na" "0"
"60" 676.907596371093 "na" "0"
